,name,id,cv_gt,cv_gk,cv_tk,cv_gtk,tv_gt,tv_gk,tv_tk,tv_gtk,cv_gtkn,cv_gtky,cv_gtkd
245,Katharsis,55461,0,0,0,0,0,0,0,0,0,0,0
246,MudRunner,54789,0,0,0,0,0,0,0,0,0,0,0
247,The Rodinia Project,52077,0,0,0,0,0,0,0,0,0,0,0
248,Scud Frenzy,102395,0,0,0,0,0,0,0,0,0,0,0
249,The Spectrum Retreat,96065,0,0,0,0,0,0,0,1,0,0,0
250,Sylvio,26779,0,0,0,0,0,0,0,0,0,0,0
251,Sigils of Elohim,17808,0,0,0,0,0,0,0,0,0,0,0
252,Ambition of the Slimes,79142,0,0,0,0,0,0,0,0,0,0,0
253,Asteria,17536,0,0,0,0,0,0,0,0,0,0,0
254,Nier: Automata - Become as Gods Edition,103294,1,0,1,0,1,0,1,0,0,0,0
255,Vanquish,3218,0,1,2,2,0,2,2,2,1,1,1
256,Lair of the Clockwork God,117058,0,0,0,0,0,0,0,0,0,0,0
257,The Golf Club,16927,0,0,0,0,0,0,0,0,0,0,0
258,Lethal League,8262,0,0,0,0,0,0,0,0,0,0,0
259,Delta Force: The Awakening - Task Force Dagger,9348,2,0,0,0,2,0,0,0,0,0,0
260,Midnight Outlaw: 6 Hours to Sun Up,29192,0,0,0,1,0,0,0,1,1,1,1
261,SimCity,1274,1,0,0,0,1,0,0,0,0,0,0
262,Bust-a-Move 4,6826,0,0,0,0,0,0,0,0,0,0,0
263,Ded,30073,0,0,0,0,0,0,0,0,0,0,0
264,God Eater 3,28010,0,0,1,0,0,1,1,1,0,0,0
265,Mortal Kombat X,7292,0,1,1,1,0,1,1,1,1,1,1
266,BoneCraft,51268,0,0,1,0,0,0,1,0,0,0,0
267,Assetto Corsa Competizione,89444,0,0,0,0,0,0,0,0,0,0,0
268,Plank not included,29311,0,0,0,0,0,0,0,0,0,0,0
269,Watch Dogs,1121,1,3,3,3,1,2,3,2,3,3,3
270,Chill Corner,173072,0,0,0,0,0,0,0,0,0,0,0
271,Wipeout XL,1538,0,0,0,0,0,0,0,0,0,0,0
272,R-Coil,68792,0,1,1,0,0,1,1,0,0,0,0
273,The Book of Legends,17059,0,0,0,1,0,0,0,0,1,1,1
274,Worms Clan Wars,7082,0,0,0,0,0,0,0,0,0,0,0
